"Date","Occurences"
"2019-05-04","0"
"2019-05-04","6"
"2019-05-02","0"
"2019-05-02","0"
"2019-05-02","9"
"2019-05-02","4"
"2019-05-02","5"
"2019-04-27","5"
"2019-04-27","2"
"2019-04-27","6"
"2019-04-27","1"
"2019-04-27","0"
"2019-04-27","0"
"2019-04-26","1"
"2019-04-26","9"
"2019-04-25","1"
"2019-04-25","2"
"2019-04-20","1"
"2019-04-20","1"
"2019-04-20","7"
"2019-04-17","5"
"2019-04-17","17"
"2019-04-17","6"
"2019-04-17","11"
"2019-04-15","1"
"2019-04-13","8"
"2019-04-13","12"
"2019-04-11","4"
"2019-04-11","0"
"2019-04-11","0"
"2019-04-11","0"
"2019-04-11","0"
"2019-04-06","2"
"2019-04-05","2"
"2019-04-04","0"
"2019-04-04","8"
"2019-04-04","1"
"2019-04-04","1"
"2019-04-04","4"
"2019-03-28","8"
"2019-03-28","0"
"2019-03-28","2"
"2019-03-28","2"
"2019-03-28","5"
"2019-03-28","0"
"2019-03-28","0"
"2019-03-23","1"
"2019-03-23","4"
"2019-03-23","1"
"2019-03-21","0"
"2019-03-21","4"
"2019-03-21","4"
"2019-03-18","0"
"2019-03-16","8"
"2019-03-16","19"
"2019-03-14","1"
"2019-03-14","13"
"2019-03-14","0"
"2019-03-14","1"
"2019-03-14","11"
"2019-03-14","18"
"2019-03-09","0"
"2019-03-09","6"
"2019-03-14","11"
"2019-03-14","18"
"2019-03-09","0"
"2019-03-09","6"
"2019-03-07","4"
"2019-03-07","0"
"2019-03-07","2"
"2019-03-07","5"
"2019-03-07","5"
"2019-03-07","2"
"2019-03-07","8"
"2019-03-02","3"
"2019-02-28","23"
"2019-02-23","1"
"2019-02-21","26"
"2019-02-21","1"
"2019-02-21","1"
"2019-02-21","0"
"2019-02-21","0"
"2019-02-21","9"
"2019-02-20","1"
"2019-02-16","0"
"2019-02-16","2"
"2019-02-16","0"
"2019-02-21","9"
"2019-02-20","1"
"2019-02-16","0"
"2019-02-16","2"
"2019-02-16","0"
"2019-02-16","3"
"2019-02-16","1"
"2019-02-14","0"
"2019-02-14","1"
"2019-02-09","0"
"2019-02-09","13"
"2019-02-09","0"
"2019-02-09","32"
"2019-02-09","0"
"2019-02-09","0"
"2019-02-07","0"
"2019-02-07","17"
"2019-02-07","0"
"2019-02-07","1"
"2019-02-05","3"
"2019-02-02","21"
"2019-02-02","1"
"2019-02-02","0"
"2019-02-02","0"
"2019-01-26","8"
"2019-01-26","0"
"2019-01-26","0"
"2019-01-26","6"
"2019-01-24","5"
"2019-01-24","0"
"2019-01-24","9"
"2019-01-24","14"
"2019-01-21","0"
"2019-01-19","1"
"2019-01-19","2"
"2019-01-19","7"
"2019-01-19","7"
"2019-01-19","3"
"2019-01-19","10"
"2019-01-19","1"
"2019-01-19","3"
"2019-01-17","18"
"2019-01-17","4"
"2019-01-12","5"
"2019-01-12","0"
"2019-01-12","2"
"2019-01-12","0"
"2019-01-12","0"
"2019-01-10","10"
"2019-01-10","7"
"2019-01-07","1"
"2019-01-05","13"
"2019-01-05","3"
"2019-01-05","0"
"2019-01-05","2"
"2019-01-05","2"
"2019-01-03","4"
"2019-01-03","3"
"2018-12-22","8"
"2018-12-22","3"
"2018-12-22","4"
"2018-12-22","11"
"2018-12-15","11"
"2018-12-15","15"
"2018-12-15","14"
"2018-12-15","0"
"2018-12-15","8"
"2018-12-15","0"
"2018-12-15","0"
"2018-12-14","6"
"2018-12-13","5"
"2018-12-13","0"
"2018-12-10","9"
"2018-12-08","4"
"2018-12-08","0"
"2018-12-08","1"
"2018-12-08","0"
"2018-12-08","12"
"2018-12-08","2"
"2018-12-08","9"
"2018-12-08","1"
"2018-12-08","2"
"2018-12-02","7"
"2018-12-01","5"
"2018-12-08","1"
"2018-12-08","2"
"2018-12-02","7"
"2018-12-01","5"
"2018-12-01","1"
"2018-12-01","1"
"2018-12-01","0"
"2018-12-01","4"
"2018-12-01","0"
"2018-12-01","0"
"2018-11-29","20"
"2018-11-24","1"
"2018-11-24","1"
"2018-11-24","0"
"2018-11-24","3"
"2018-11-24","7"
"2018-11-24","1"
"2018-11-24","3"
"2018-11-24","6"
"2018-11-19","67"
"2018-11-17","0"
"2018-11-17","2"
"2018-11-17","1"
"2018-11-17","0"
"2018-11-15","6"
"2018-11-08","28"
"2018-11-08","1"
"2018-11-08","3"
"2018-11-08","0"
"2018-11-08","2"
"2018-11-08","1"
"2018-11-08","0"
"2018-11-08","0"
"2018-11-03","0"
"2018-11-03","2"
"2018-11-03","1"
"2018-11-03","1"
"2018-11-03","7"
"2018-11-03","10"
"2018-11-03","0"
"2018-11-03","19"
"2018-11-03","2"
"2018-11-01","3"
"2018-10-27","1"
"2018-10-27","2"
"2018-10-27","3"
"2018-10-27","2"
"2018-10-27","2"
"2018-10-27","0"
"2018-10-27","1"
"2018-10-25","0"
"2018-10-20","5"
"2018-10-20","7"
"2018-10-20","1"
"2018-10-20","19"
"2018-10-20","0"
"2018-10-20","0"
"2018-10-20","0"
"2018-10-19","7"
"2018-10-18","5"
"2018-10-20","0"
"2018-10-20","0"
"2018-10-20","0"
